"","Nationals","Liberals","Labor"
"various",1,0,0
"veget",1,0,0
"vehicl",2,0,0
"vest",1,0,0
"veteran",1,1,5
"via",2,3,21
"vibrant",1,1,0
"vice",1,0,0
"victim",1,0,2
"victoria",2,2,4
"victorian",1,5,3
"video",1,1,22
"villag",1,0,0
"violenc",1,4,6
"violent",1,0,1
"visit",8,39,14
"visito",1,0,0
"vital",1,2,4
"volunt",1,4,6
"vote",1,11,23
"voter",1,3,2
"wag",1,0,0
"waggacouncil",3,0,0
"waggawagga",3,0,0
"walk",1,6,15
"walker",1,0,1
"want",6,9,28
"war",1,1,3
"wast",1,1,2
"watch",1,2,12
"water",7,1,0
"way",2,10,12
"wdr",1,0,0
"wearer",1,0,0
"webster",1,0,0
"wed",1,0,0
"week",4,15,25
"weekend",1,2,3
"weir",4,0,0
"welcom",4,10,9
"well",1,13,28
"west",1,1,6
"westwyalong",1,0,0
"weve",1,2,3
"what",1,1,6
"whether",1,2,2
"whiddon",2,0,0
"whos",1,1,1
"whove",3,0,0
"widebayburnett",1,0,0
"wife",2,0,0
"wilcannia",4,0,0
"will",16,61,135
"wind",1,0,5
"winner",2,6,0
"wish",1,0,0
"wit",1,1,1
"wollongbar",1,0,0
"wonder",4,13,14
"wont",1,1,4
"wood",1,0,0
"word",1,4,8
"work",5,27,62
"worker",1,0,14
"world",6,8,12
"worst",1,0,2
"worth",1,4,4
"wrap",1,0,0
"writ",1,0,0
"write",1,0,4
"wto",1,0,0
"yamala",1,0,0
"year",9,40,85
"yerong",1,0,0
"yesterd",1,0,0
"yesterday",2,10,12
"your",2,0,9
"youth",1,1,0
"zealand",1,0,0
"zero",2,0,0
"aaaatweet",0,1,0
"aberfoyl",0,1,0
"abeshi",0,2,0
"abl",0,13,3
"abolish",0,1,2
"abor",0,1,0
"aborigin",0,2,1
"abort",0,1,0
"abou",0,1,1
"aboutthehous",0,13,1
"absolut",0,3,2
"absstat",0,2,0
"abus",0,4,2
"academ",0,3,0
"accept",0,4,10
"accessabilityday",0,1,0
"accord",0,1,1
"account",0,3,4
"achiev",0,4,1
"acknowledg",0,2,2
"acquir",0,1,0
"acquisit",0,1,1
"actor",0,1,1
"actual",0,4,12
"acurrentaffair",0,1,2
"adapt",0,1,1
"addi",0,1,0
"address",0,3,8
"adelaid",0,5,3
"adf",0,4,0
"adva",0,1,0
"advanc",0,2,5
"adventur",0,2,0
"advic",0,1,4
"advoc",0,1,3
"advocaci",0,1,1
"aedt",0,1,0
"aerospac",0,1,0
"affair",0,1,2
"affect",0,6,8
"affirm",0,2,0
"affo",0,1,0
"afford",0,4,4
"affordab",0,2,0
"aflplay",0,1,0
"aga",0,1,0
"agedcar",0,1,0
"agenc",0,2,2
"agenda",0,1,2
"agforceqld",0,1,0
"agl",0,3,0
"aglenergi",0,2,0
"ago",0,2,20
"agreement",0,1,1
"ahead",0,4,3
"aiccnsw",0,4,0
"aid",0,1,1
"aihw",0,1,0
"aim",0,1,1
"aircraft",0,4,2
"ajamesbragg",0,1,0
"aka",0,1,1
"alankohl",0,1,1
"alantudgemp",0,1,1
"albert",0,1,0
"alburi",0,1,0
"alcoa",0,1,0
"aleighmp",0,2,11
"alexand",0,1,0
"alexdevanti",0,1,0
"alexhawkemp",0,2,0
"ali",0,4,1
"allanjclark",0,1,0
"alleg",0,5,1
"allfemal",0,1,0
"alli",0,1,1
"allianc",0,1,2
"almost",0,3,6
"alon",0,2,2
"alongsid",0,2,2
"alr",0,1,0
"alsalamcommunitycentr",0,1,0
"amaz",0,4,9
"ambiti",0,2,0
"analyst",0,1,0
"andrewfbond",0,1,0
"andrewwallacemp",0,2,0
"anger",0,3,1
"ann",0,3,3
"anna",0,1,0
"annastacia",0,1,2
"anniejowilliam",0,1,0
"anno",0,1,0
"annou",0,1,0
"annual",0,4,9
"anticip",0,1,0
"antimercantilist",0,1,0
"apa",0,1,0
"apc",0,1,0
"apollobay",0,1,0
"apologis",0,1,1
"appeal",0,1,1
"appear",0,2,0
"applic",0,2,1
"appreci",0,1,1
"aprainfo",0,1,0
"aquat",0,1,0
"arafura",0,3,1
"arcan",0,1,0
"archi",0,2,1
"archieroach",0,1,0
"area",0,3,0
"ark",0,2,0
"arm",0,1,3
"armi",0,2,2
"armistic",0,1,5
"around",0,11,9
"arriv",0,2,3
"articl",0,2,4
"artist",0,2,1
"ascdefenc",0,1,0
"asean",0,1,0
"asfaaust",0,1,0
"asham",0,1,0
"ashton",0,1,0
"asi",0,1,0
"asid",0,1,0
"aspir",0,1,1
"assembl",0,1,0
"asset",0,2,0
"assist",0,4,2
"assoc",0,1,0
"astrolog",0,1,0
"athlet",0,2,4
"atom",0,2,0
"attempt",0,2,2
"attidi",0,1,0
"auconserv",0,13,0
"audienc",0,1,0
"aunti",0,1,0
"aurukun",0,2,0
"ausairforc",0,5,2
"ausbusi",0,1,0
"ausdef",0,1,0
"aushcfj",0,1,0
"aushear",0,1,0
"ausmusictshirtday",0,1,4
"ausnavi",0,1,0
"ausparalymp",0,1,2
"auspol",0,26,58
"aust",0,1,2
"austageagenda",0,1,0
"austra",0,1,1
"australianarmi",0,4,0
"australianlabor",0,3,20
"australiannavi",0,3,0
"authent",0,1,0
"autism",0,3,1
"auto",0,1,0
"autonom",0,1,0
"autonomouswarrior",0,2,0
"avail",0,2,2
"avalon",0,1,0
"awar",0,5,1
"away",0,4,3
"awesom",0,1,4
"awmemori",0,1,2
"awneilmitchel",0,1,0
"bac",0,1,0
"backbon",0,4,0
"backped",0,1,0
"bad",0,3,2
"baesystemsaus",0,1,0
"bag",0,3,1
"bail",0,2,0
"baird",0,1,0
"baki",0,1,0
"ball",0,1,0
"ballot",0,1,0
"ban",0,2,6
"band",0,1,1
"bannockburn",0,1,0
"banoki",0,1,0
"barangaroo",0,1,0
"barbara",0,1,0
"barg",0,1,0
"barnaba",0,1,0
"basscoast",0,1,0
"bassvalley",0,1,0
"battalion",0,1,0
"baykali",0,1,0
"baysid",0,1,0
"bbciplay",0,1,0
"beat",0,3,0
"beaudesert",0,1,0
"becom",0,2,7
"bee",0,1,0
"beef",0,1,0
"beforeaft",0,1,0
"began",0,1,1
"begin",0,4,0
"begun",0,1,0
"behalf",0,2,0
"behaviour",0,1,4
"belair",0,1,0
"belfer",0,1,0
"belief",0,1,0
"belindajon",0,1,0
"bellair",0,1,0
"belt",0,1,1
"benfordham",0,1,0
"bennelong",0,1,1
"benwyatt",0,1,1
"bernuzelac",0,1,0
"bertvanmanen",0,1,0
"bethania",0,2,0
"better",0,6,25
"bigger",0,1,4
"billion",0,5,13
"billshortenmp",0,4,106
"bin",0,2,0
"bingo",0,1,0
"biographi",0,1,0
"bipolar",0,1,0
"birmo",0,1,1
"birth",0,1,0
"bishop",0,1,1
"bite",0,3,0
"bjelkepetersen",0,1,0
"blackadd",0,1,0
"blayketatafu",0,1,0
"block",0,5,3
"blood",0,1,1
"blowout",0,1,0
"bluezon",0,1,0
"board",0,3,4
"boat",0,1,0
"boo",0,1,0
"boost",0,10,13
"border",0,2,2
"bother",0,1,0
"bow",0,1,1
"bowenchri",0,6,60
"boynxdor",0,1,0
"bradhazzard",0,1,0
"breakfast",0,2,2
"breakfastnew",0,2,0
"brenda",0,1,0
"brendan",0,1,0
"brief",0,2,0
"bright",0,2,0
"brightest",0,1,0
"brink",0,1,0
"brisban",0,3,11
"brite",0,2,0
"broader",0,1,0
"broadmeadow",0,1,0
"brutal",0,1,1
"buccann",0,1,0
"bucci",0,1,0
"budget",0,2,2
"builder",0,1,2
"built",0,3,2
"bureaucrat",0,1,0
"burn",0,1,0
"bus",0,1,7
"bushfir",0,1,0
"busin",0,3,1
"busyatwork",0,1,0
"butcheri",0,1,0
"buy",0,1,6
"byrn",0,1,1
"cabin",0,1,0
"cabinet",0,3,4
"cage",0,1,0
"cainslat",0,1,0
"caitcrowley",0,1,0
"caitlyn",0,1,0
"call",0,5,24
"callous",0,1,0
"cambooya",0,1,0
"camp",0,1,1
"canning",0,1,1
"cannon",0,1,0
"cant",0,3,12
"capabl",0,3,0
"capalaba",0,1,0
"cape",0,1,0
"car",0,1,6
"card",0,2,0
"career",0,2,1
"carer",0,1,0
"carmelit",0,2,0
"carolyn",0,1,0
"carpet",0,1,0
"carrickhil",0,1,0
"casa",0,1,0
"case",0,1,5
"cash",0,1,2
"cashless",0,2,0
"cast",0,3,0
"cater",0,1,0
"caubati",0,1,0
"caulfield",0,2,0
"caus",0,1,10
"caveat",0,1,0
"cdpp",0,1,0
"celebra",0,2,0
"cent",0,3,2
"centenari",0,1,2
"center",0,1,0
"centrelink",0,1,2
"ceo",0,8,4
"ceremoni",0,2,2
"certif",0,1,0
"cfs",0,2,0
"cgsydney",0,1,0
"cgt",0,1,0
"chair",0,2,3
"chairman",0,1,1
"charg",0,1,4
"charli",0,1,0
"chequer",0,1,0
"cherbourg",0,1,1
"chico",0,1,0
"chief",0,1,0
"china",0,5,0
"chines",0,2,0
"choos",0,1,0
"chos",0,1,0
"chosen",0,1,0
"chpvic",0,1,0
"chrissmithradio",0,1,0
"christia",0,1,0
"christin",0,1,0
"christoph",0,1,6
"chronic",0,5,0
"cilento",0,1,0
"citycycl",0,1,0
"citycyclebrisban",0,1,0
"civilian",0,1,0
"claim",0,1,10
"clash",0,1,0
"classic",0,1,0
"classof",0,1,0
"classroom",0,1,0
"clean",0,1,2
"cleans",0,1,1
"clearanc",0,1,0
"clearway",0,1,0
"closer",0,2,0
"closur",0,1,0
"cmurimi",0,1,0
"coali",0,1,0
"cochair",0,3,0
"coconvenor",0,1,0
"coen",0,2,0
"coffe",0,3,1
"colac",0,1,0
"cold",0,1,2
"collabor",0,1,0
"colleagu",0,2,10
"collect",0,4,4
"collierdaw",0,1,0
"color",0,1,0
"combin",0,1,0
"command",0,1,0
"commenc",0,4,0
"commend",0,1,0
"commerc",0,1,1
"commerci",0,2,2
"commiss",0,3,11
"commun",0,1,0
"compani",0,3,6
"compar",0,3,0
"comparison",0,1,0
"compet",0,1,0
"competit",0,2,2
"compliment",0,1,0
"con",0,1,2
"concept",0,1,0
"conclud",0,1,0
"condit",0,4,3
"confer",0,7,12
"confid",0,1,0
"confirm",0,2,2
"conflat",0,1,0
"congest",0,1,1
"congestionbust",0,2,1
"congress",0,2,0
"connect",0,1,1
"conquer",0,1,0
"conscienc",0,1,0
"consequ",0,1,5
"conserv",0,3,3
"contrast",0,2,0
"contribut",0,3,5
"control",0,2,1
"convent",0,1,0
"cooma",0,2,0
"cope",0,1,1
"coreywingard",0,1,0
"corp",0,1,0
"corpor",0,2,15
"correct",0,2,0
"corridor",0,1,0
"corrupt",0,1,0
"cos",0,1,0
"cosboa",0,1,0
"cost",0,1,9
"costello",0,1,1
"council",0,1,3
"count",0,2,1
"counter",0,1,1
"counterterror",0,1,0
"court",0,1,2
"cover",0,2,0
"cow",0,1,1
"cpyn",0,1,0
"cpyne",0,11,4
"crab",0,1,0
"cranbourn",0,1,0
"crcaroltaylor",0,1,0
"creativ",0,1,2
"credenti",0,1,2
"credit",0,3,1
"crematorium",0,1,0
"crew",0,3,5
"cri",0,1,1
"cricket",0,1,4
"crime",0,2,0
"crimin",0,6,4
"criminalis",0,1,0
"croquet",0,1,0
"cross",0,2,6
"crossbench",0,2,0
"crow",0,1,2
"crowd",0,1,4
"csironew",0,1,0
"cultur",0,1,2
"culvert",0,1,0
"cup",0,1,3
"current",0,3,8
"custom",0,2,2
"cut",0,6,101
"cwdorang",0,1,0
"daeneri",0,1,0
"dali",0,1,0
"dan",0,1,2
"danc",0,1,0
"danger",0,1,1
"danielandrewsmp",0,3,4
"danielweil",0,1,0
"darc",0,1,0
"darkest",0,1,1
"darwin",0,7,9
"dataai",0,1,0
"davesharma",0,1,0
"davidcolemanmp",0,1,6
"davidmbrigg",0,1,0
"davidsouth",0,1,0
"davidsp",0,1,0
"dawn",0,2,0
"dawsonej",0,1,0
"ddcrc",0,1,0
"deansmithwa",0,1,0
"debacl",0,1,2
"debat",0,3,8
"debi",0,1,0
"debilit",0,1,0
"debit",0,1,0
"decemb",0,2,0
"decent",0,1,1
"decisivelyi",0,1,0
"dedic",0,2,2
"deepli",0,1,1
"defenc",0,18,9
"defenceless",0,1,0
"defencesci",0,5,0
"defendtex",0,1,0
"delay",0,2,2
"dem",0,1,0
"demean",0,1,0
"dementia",0,1,0
"dementiaaus",0,1,0
"democraci",0,3,2
"denial",0,1,1
"deploy",0,1,0
"dept",0,1,2
"deptdef",0,8,0
"derail",0,1,0
"describ",0,2,0
"dese",0,1,0
"desper",0,2,2
"detail",0,1,4
"detect",0,1,1
"devel",0,1,0
"devicetech",0,1,0
"dfat",0,1,0
"diana",0,2,0
"dickin",0,1,0
"didnt",0,2,2
"digit",0,1,3
"dilig",0,1,0
"dire",0,2,1
"direct",0,3,4
"disabi",0,1,0
"disabl",0,13,3
"disadvantag",0,1,0
"disast",0,1,3
"disastr",0,1,0
"disciplin",0,1,0
"discount",0,1,0
"discourtesi",0,1,0
"diseas",0,2,2
"disgrac",0,1,3
"disord",0,4,0
"display",0,1,0
"disproportion",0,1,0
"dive",0,1,0
"diver",0,1,0
"doesnt",0,3,4
"dog",0,1,2
"don",0,1,5
"donati",0,2,1
"donor",0,1,3
"doorknock",0,1,2
"download",0,1,0
"doz",0,1,0
"draft",0,1,1
"drain",0,1,0
"dread",0,1,0
"dreamtim",0,4,0
"dreamtimeaward",0,4,0
"drew",0,1,0
"drone",0,1,0
"drown",0,1,0
"drum",0,1,1
"drumlin",0,1,0
"dst",0,1,0
"dubai",0,2,0
"dubesaustralia",0,1,0
"dupe",0,1,0
"duti",0,1,0
"dvaaus",0,3,0
"dwight",0,1,0
"dynam",0,1,0
"eaglebi",0,1,0
"earli",0,6,13
"earlier",0,3,8
"earthma",0,1,0
"eat",0,1,1
"economist",0,1,3
"ecstra",0,2,0
"eddi",0,1,2
"eddykontelj",0,1,0
"edenmonaro",0,1,0
"edgar",0,1,0
"edinburgh",0,1,0
"edit",0,2,1
"editori",0,1,1
"educ",0,7,7
"edward",0,1,2
"edwardstow",0,1,0
"effici",0,1,0
"elain",0,1,0
"elanora",0,1,0
"elda",0,1,0
"elder",0,4,0
"electionsv",0,1,0
"elector",0,3,7
"ellinghausen",0,3,1
"els",0,1,5
"email",0,1,2
"embassi",0,2,9
"embrac",0,2,0
"emot",0,1,1
"empl",0,1,0
"employe",0,6,1
"employeel",0,1,0
"employtheir",0,2,0
"enco",0,2,0
"end",0,5,11
"endeavor",0,2,0
"endo",0,1,0
"endometri",0,1,0
"endometriosi",0,7,0
"endometriosisau",0,1,0
"endometriosisaustralia",0,1,0
"endous",0,1,0
"enemi",0,1,1
"energi",0,4,36
"engag",0,1,4
"engin",0,3,3
"engineeringd",0,1,0
"enhanc",0,1,1
"ensur",0,4,3
"enter",0,2,1
"entrepreneur",0,4,1
"environment",0,1,0
"equestrian",0,1,0
"equiti",0,1,0
"era",0,1,0
"esdnew",0,1,0
"ethan",0,1,0
"event",0,8,5
"everyaustraliancount",0,1,0
"everyon",0,2,6
"everywher",0,1,1
"evid",0,1,11
"evolv",0,1,0
"exampl",0,3,2
"excel",0,4,2
"exchang",0,1,0
"exclus",0,1,0
"exist",0,1,5
"expand",0,1,0
"expans",0,2,3
"experi",0,3,4
"experienc",0,4,1
"expert",0,3,3
"explain",0,2,3
"extend",0,1,11
"extens",0,1,5
"extrem",0,1,5
"eyeopen",0,1,0
"fab",0,1,0
"fabul",0,1,1
"face",0,4,10
"fact",0,1,27
"fail",0,4,5
"fair",0,3,16
"fairer",0,4,6
"fairi",0,1,0
"faith",0,2,3
"fake",0,1,0
"fan",0,1,4
"fare",0,1,1
"fast",0,2,0
"fastest",0,1,0
"fbaapresid",0,1,0
"fbc",0,1,0
"featur",0,1,2
"fede",0,1,0
"feel",0,3,4
"fellow",0,1,0
"fema",0,1,0
"femal",0,2,1
"feo",0,2,0
"ferri",0,1,0
"fertil",0,1,0
"fest",0,1,0
"fifti",0,1,0
"fighera",0,1,0
"figur",0,2,1
"fiji",0,1,0
"fijian",0,2,0
"fijitim",0,1,0
"fin",0,2,0
"final",0,5,7
"financ",0,7,1
"financi",0,7,6
"finish",0,1,1
"fiona",0,1,1
"fionabett",0,1,0
"fir",0,1,0
"fire",0,2,3
"firepow",0,1,0
"firstedit",0,2,0
"fitchrat",0,1,0
"fitzherbertmlc",0,2,0
"fitzroy",0,1,1
"five",0,1,5
"fiveaa",0,2,0
"fivecast",0,3,0
"fix",0,1,13
"flamingo",0,1,0
"flashback",0,1,0
"fleet",0,2,0
"flexib",0,1,0
"flexibl",0,3,0
"flight",0,2,2
"flinder",0,1,0
"flintpow",0,1,0
"flog",0,1,0
"floss",0,1,0
"flower",0,1,0
"foil",0,1,0
"follow",0,2,9
"footbal",0,2,4
"forb",0,1,0
"ford",0,1,0
"foreign",0,6,9
"foreignaffair",0,1,0
"forest",0,1,0
"forestvill",0,1,0
"forg",0,1,1
"format",0,1,0
"forrestfi",0,1,0
"forrestfield",0,1,0
"forth",0,1,0
"fortifi",0,1,0
"fortun",0,1,0
"forum",0,5,7
"forward",0,1,10
"foundat",0,2,5
"founder",0,1,0
"framework",0,1,2
"frank",0,3,1
"frankelli",0,1,0
"frankin",0,1,0
"free",0,3,13
"freeli",0,1,0
"freeway",0,1,1
"fresh",0,1,0
"freshwat",0,1,0
"friday",0,1,3
"fta",0,1,1
"full",0,2,10
"fullsteam",0,1,0
"fulltim",0,8,0
"fundament",0,1,0
"fundi",0,1,0
"fundrais",0,2,2
"futu",0,1,0
"galah",0,1,0
"gamblinggr",0,1,0
"gamechang",0,1,1
"ganambarr",0,1,0
"gap",0,1,8
"garden",0,2,2
"gari",0,1,0
"gavanmacrid",0,2,0
"gavin",0,1,4
"gearingit",0,3,0
"geelong",0,2,0
"geelongbusinessclub",0,1,0
"gelain",0,1,0
"gender",0,1,7
"gene",0,1,0
"general",0,5,11
"generat",0,2,4
"geopolit",0,2,0
"georgiafrancesk",0,1,0
"gerard",0,2,0
"gerdajez",0,1,0
"gerrardgosen",0,1,0
"gfc",0,3,2
"gidgetfnd",0,1,0
"gift",0,3,2
"girl",0,7,5
"glad",0,1,4
"gladstonespeak",0,1,0
"gladysb",0,2,0
"global",0,3,5
"globalis",0,1,0
"globe",0,1,0
"glori",0,1,1
"god",0,1,0
"gold",0,3,3
"goldfield",0,2,0
"goo",0,1,0
"googl",0,2,2
"gove",0,1,0
"governorgener",0,1,0
"gparker",0,2,0
"gpiniti",0,1,0
"grab",0,1,0
"graduat",0,1,2
"grammar",0,1,0
"gran",0,2,0
"grand",0,1,3
"grandview",0,1,0
"grate",0,2,3
"greaterchoic",0,1,0
"greco",0,2,0
"gregbrowntheoz",0,1,0
"greghun",0,1,0
"greghuntmp",0,9,0
"grew",0,1,1
"grim",0,1,0
"gross",0,1,1
"growforgood",0,1,0
"gst",0,5,1
"gtlaw",0,3,0
"guardianaus",0,1,1
"guest",0,1,4
"guildfordgramm",0,1,0
"guitar",0,1,0
"gutless",0,1,0
"gutter",0,2,0
"habit",0,2,0
"hadley",0,2,0
"halal",0,1,0
"half",0,5,3
"hamper",0,1,0
"hand",0,2,8
"handoutman",0,1,0
"hang",0,1,1
"happen",0,1,7
"harbourtrust",0,1,0
"hardwork",0,1,0
"harmoni",0,1,0
"harper",0,1,0
"harvard",0,1,0
"hasluck",0,2,0
"hassan",0,1,0
"hast",0,1,0
"hasti",0,1,0
"hatr",0,1,0
"hawaiian",0,1,0
"haydenfreedom",0,1,0
"headquart",0,1,1
"heal",0,3,0
"health",0,16,19
"heard",0,4,5
"heart",0,2,2
"hedley",0,1,0
"held",0,2,1
"helenclarknz",0,1,0
"helicopt",0,1,0
"helimod",0,1,0
"here",0,1,4
"heritagebank",0,1,0
"heroism",0,1,0
"hes",0,1,8
"hhh",0,1,0
"hill",0,2,4
"hillsong",0,2,0
"hire",0,1,1
"histori",0,2,5
"hit",0,5,3
"hjsutherland",0,5,0
"hmas",0,1,3
"holdfast",0,1,0
"holi",0,1,0
"holt",0,1,0
"homeless",0,2,1
"honest",0,2,0
"honorari",0,1,0
"hornsbi",0,1,0
"horrif",0,1,0
"hour",0,1,18
"httpst",0,1,10
"httpstco",0,3,11
"httpstcoaebicrwo",0,1,0
"httpstcoaegci",0,1,0
"httpstcoaertnziuan",0,1,0
"httpstcoaetrokoa",0,1,0
"httpstcoafdwcnhdk",0,1,0
"httpstcoahlumwr",0,1,0
"httpstcoaiqgpvpmh",0,1,0
"httpstcoalorgbdi",0,1,0
"httpstcoanlywkjo",0,1,0
"httpstcoardjcpzvbp",0,1,0
"httpstcoatkcifg",0,1,0
"httpstcoaugqedwkku",0,1,0
"httpstcoawsvtpetir",0,1,0
"httpstcoaxewagci",0,1,0
"httpstcobbomoqr",0,1,0
"httpstcobcquxmkq",0,1,0
"httpstcobcxfutivu",0,1,0
"httpstcobdmahjpzgo",0,1,0
"httpstcobdxfxctv",0,1,0
"httpstcobeackcvyf",0,1,0
"httpstcobhzjubgmf",0,1,0
"httpstcobjgzxlsv",0,1,0
"httpstcobjpwq",0,1,0
"httpstcobjrxxtdzw",0,1,0
"httpstcobjyanrgc",0,1,0
"httpstcobkktwjd",0,1,0
"httpstcobkolefki",0,1,0
"httpstcobkspgfflra",0,1,0
"httpstcoblcoabo",0,1,0
"httpstcoblnrcfnsq",0,1,0
"httpstcoblvjuzzx",0,1,0
"httpstcobpqlcpij",0,1,0
"httpstcobsbdxlnti",0,1,0
"httpstcobvqgvboga",0,1,0
"httpstcobxfjddob",0,1,0
"httpstcocasukpiaef",0,1,0
"httpstcocceznsfhbx",0,1,0
"httpstcocdkgbjtg",0,1,0
"httpstcochtztmo",0,1,0
"httpstcocmananzjmb",0,1,0
"httpstcocpjbjrqb",0,1,0
"httpstcocpujghrsl",0,1,0
"httpstcocqanbp",0,1,0
"httpstcocrnhbjyeb",0,1,0
"httpstcocwyiw",0,1,0
"httpstcodaemsxzsz",0,1,0
"httpstcodatzimfg",0,1,0
"httpstcodbozwxeim",0,1,0
"httpstcodffixi",0,1,0
"httpstcodimgrrk",0,1,0
"httpstcodjouefw",0,1,0
"httpstcodkjmur",0,1,0
"httpstcodklnpgmaau",0,1,0
"httpstcodkqn",0,1,0
"httpstcodlzywflg",0,1,0
"httpstcodmigsb",0,1,0
"httpstcodnacitoyew",0,1,0
"httpstcodnrcuetvr",0,1,0
"httpstcodpnbkhhr",0,1,0
"httpstcodqzfxjdt",0,1,0
"httpstcodrhhijajz",0,1,0
"httpstcodrklbxos",0,1,0
"httpstcodthqilq",0,1,0
"httpstcodvulclhho",0,1,0
"httpstcodwiuefra",0,1,0
"httpstcodzqgrtsrgo",0,1,0
"httpstcoeathpaya",0,1,0
"httpstcoefbousqqc",0,1,0
"httpstcoeffdajjr",0,1,0
"httpstcoehjeofbykc",0,1,0
"httpstcoehkmtifk",0,1,0
"httpstcoehtnrznh",0,1,0
"httpstcoejpgmm",0,1,0
"httpstcoejudrnn",0,1,0
"httpstcoekgbzbwxo",0,1,0
"httpstcoelqtnsru",0,1,0
"httpstcoemxgqrx",0,1,0
"httpstcoepmixfd",0,1,0
"httpstcoeqgqpfsoq",0,1,0
"httpstcoerafsxnut",0,1,0
"httpstcoeskykfznst",0,1,0
"httpstcoexufujkjb",0,1,0
"httpstcoeypuzvxkl",0,1,0
"httpstcofaacwwhaj",0,1,0
"httpstcofafrqjci",0,1,0
"httpstcofbnoyonct",0,1,0
"httpstcofbrmtfm",0,2,0
"httpstcofcorvxfw",0,1,0
"httpstcofcrzzzyir",0,1,0
"httpstcofcyojck",0,1,0
"httpstcofdlrfmvzm",0,1,0
"httpstcofdrxcja",0,1,0
"httpstcoffqfsuoh",0,1,0
"httpstcofidvqfr",0,1,0
"httpstcofifrna",0,1,0
"httpstcofjofgbzj",0,1,0
"httpstcofkgxoopc",0,1,0
"httpstcofkwsmdjhr",0,1,0
"httpstcofotmoyoy",0,1,0
"httpstcofvhgtfridz",0,1,0
"httpstcofwsswpjjj",0,1,0
"httpstcogajvmnx",0,1,0
"httpstcogcaryoyn",0,1,0
"httpstcogcncccg",0,1,0
"httpstcogdmrpxevh",0,1,0
"httpstcogeckkvidaf",0,1,0
"httpstcogfzdqatc",0,1,0
"httpstcogglimgxmd",0,1,0
"httpstcoghtpyvtwp",0,1,0
"httpstcoglieqjlljn",0,1,0
"httpstcoglqd",0,1,0
"httpstcognsrfrbpk",0,1,0
"httpstcogpwfekci",0,1,0
"httpstcogrrgeopoch",0,1,0
"httpstcogscszjqa",0,1,0
"httpstcoguqmidma",0,1,0
"httpstcoguqmuvosa",0,1,0
"httpstcogvaqnfysn",0,1,0
"httpstcogyscedl",0,1,0
"httpstcogzzodm",0,1,0
"httpstcohauuvyusf",0,1,0
"httpstcohblkzpvc",0,1,0
"httpstcohcunwdymc",0,1,0
"httpstcohgfcivacz",0,1,0
"httpstcohgucydwxi",0,1,0
"httpstcohmnpmteu",0,1,0
"httpstcohpmqaoy",0,2,0
"httpstcohqccvxddc",0,1,0
"httpstcohsgpzdgxlf",0,1,0
"httpstcohtpwachb",0,1,0
"httpstcohxtqwcof",0,1,0
"httpstcohzjcrinat",0,1,0
"httpstcoibqaqpxq",0,1,0
"httpstcoicejhzqh",0,1,0
"httpstcoickrldxl",0,1,0
"httpstcoidbwajykr",0,1,0
"httpstcoiexpkdqkrh",0,1,0
"httpstcoiflhmsac",0,1,0
"httpstcoigzumrvnfp",0,1,0
"httpstcoihmjzfia",0,1,0
"httpstcoihzampsl",0,1,0
"httpstcoiinmkymup",0,1,0
"httpstcoijezf",0,1,0
"httpstcoikghsxuw",0,1,0
"httpstcoipfqofi",0,1,0
"httpstcoiqvhwksm",0,1,0
"httpstcoiqvnwxfo",0,1,0
"httpstcoisdukz",0,1,0
"httpstcoiswxnrqxp",0,1,0
"httpstcoivjbalumqb",0,1,0
"httpstcoiwfpwrus",0,1,0
"httpstcoixxjbskbcj",0,1,0
"httpstcoiykroljbg",0,1,0
"httpstcoizgldff",0,1,0
"httpstcoizogyklbmd",0,1,0
"httpstcoizvnxqpb",0,1,0
"httpstcojacbqfb",0,1,0
"httpstcojafoxzapnc",0,1,0
"httpstcojaxvudirmw",0,2,0
"httpstcojbszkjbmi",0,1,0
"httpstcojcgnpxmkbh",0,1,0
"httpstcojedvvxggb",0,1,0
"httpstcojgdznmf",0,1,0
"httpstcojiaqrzvrk",0,1,0
"httpstcojjrfkxyq",0,1,0
"httpstcojkhtyaii",0,1,0
"httpstcojlsrmi",0,1,0
"httpstcojqmcyyqk",0,1,0
"httpstcojqoctdv",0,1,0
"httpstcojtdcjhj",0,1,0
"httpstcojwappswanb",0,1,0
"httpstcojwevpmvgk",0,1,0
"httpstcojxmqbsi",0,1,0
"httpstcojyrqom",0,1,0
"httpstcokbyhwnzg",0,1,0
"httpstcokcdcghaf",0,1,0
"httpstcokemdkpspvo",0,1,0
"httpstcokfcn",0,1,0
"httpstcokgbbzysew",0,1,0
"httpstcokizzzorok",0,1,0
"httpstcokjkgngq",0,1,0
"httpstcokjxfkuaqo",0,1,0
"httpstcoknhmnyth",0,1,0
"httpstcoknqviod",0,1,0
"httpstcokoitttc",0,1,0
"httpstcokprltxjbe",0,1,0
"httpstcokqxwshig",0,1,0
"httpstcokrjmqfgh",0,1,0
"httpstcoksydpouug",0,1,0
"httpstcoktgcewr",0,1,0
"httpstcokwrnhkcm",0,1,0
"httpstcokwvthaglaf",0,1,0
"httpstcokxysoa",0,1,0
"httpstcokzwjndor",0,1,0
"httpstcolagtkoxevv",0,1,0
"httpstcolcyjowdx",0,1,0
"httpstcoldwebbia",0,1,0
"httpstcolizdcmyjp",0,1,0
"httpstcolkoumhk",0,1,0
"httpstcolkpetc",0,1,0
